abbreviation,franchise,win_pct
ATL,Atlanta Hawks,0.536
BKN,Brooklyn Nets,0.414
BOS,Boston Celtics,0.333
CHA,Charlotte Bobcats,0.483
CHI,Chicago Bulls,0.385
CLE,Cleveland Cavaliers,0.37
DAL,Dallas Mavericks,0.571
DEN,Denver Nuggets,0.519
DET,Detroit Pistons,0.467
GSW,Golden State Warriors,0.552
HOU,Houston Rockets,0.621
IND,Indiana Pacers,0.821
LAC,Los Angeles Clippers,0.69
LAL,Los Angeles Lakers,0.464
MEM,Memphis Grizzlies,0.444
MIA,Miami Heat,0.778
MIL,Milwaukee Bucks,0.214
MIN,Minnesota Timberwolves,0.464
NOH,New Orleans Pelicans*,0.462
NYK,New York Knicks,0.333
OKC,Oklahoma City Thunder,0.815
ORL,Orlando Magic,0.286
PHI,Philadelphia 76ers,0.286
PHX,Phoenix Suns,0.63
POR,Portland Trail Blazers,0.821
SAC,Sacramento Kings,0.296
SAS,San Antonio Spurs,0.786
TOR,Toronto Raptors,0.423
UTA,Utah Jazz,0.258
WAS,Washington Wizards,0.48